AnnaBGI	240728742
H09	12706930
H10	13178220
H11	52033189
H12	23397121
H13	19371709
H14	10308841
H15	19437109
H16	19754389
H17	14669172
H18	17416264
H19	13647091
H1	28603323
H20	19320509
H21	50683432
H22	11387341
H23	18265531
H24	14576392
H25	14605110
H26	19067820
H27	16295977
H28	48640697
H29	14049405
H2	33748178
H30	15186100
H31	42311198
H33	25052943
H34	21844377
H35	22793456
H36	22830584
H38	17341704
H39	19350316
H3	24136744
H40	23109288
H41	8681372
H42	10382221
H43	15155148
H44	22168800
H45	14416182
H46	12666810
H47	11436933
H48	17305157
H4	10096594
H5	8768718
H6	23613478
H7	21551218
H8	20614536
SwiftBGI	744727216
