H09	23258011
H10	23425509
H11	99529322
H12	43327212
H13	36804351
H14	20027931
H15	37238517
H16	35527590
H17	28772350
H18	33069482
H19	27306643
H1	43395621
H20	35023006
H21	96400214
H22	22846481
H23	34144615
H24	27274566
H25	26060014
H26	32396394
H27	28504163
H28	90228977
H29	24928510
H2	51502067
H30	28498852
H31	75666171
H33	41481234
H34	36737882
H35	38771974
H36	39569098
H38	27455414
H39	30698680
H3	37876869
H40	39185615
H41	16023164
H42	20148767
H43	27915704
H44	41347708
H45	26625856
H46	29114116
H47	26223689
H48	32874729
H4	16602806
H5	13575690
H6	36218846
H7	32877853
H8	31661709
